"","looker_id","Gender","ID","set","width","width_horiz","sc_width","sc_width_horiz","ir_width","ir_width_horiz","ir_width_alt","height","sc_height","ir_height","complete_area","eye_opening_area","iris_pupil_area","sclera_area","hac","hrc","ril","iris_centroid_y","luminance_slope_abs","whr","ssi","ssi_alt","ssr"
"70","M09","m","09","right",26.4254539601499,26.439,22.7506286726323,22.672,11.8784797848883,11.888,11.5597392009074,10.2079074586881,10.1367737844369,9.98993101678967,178.627,168.041,94.686,73.355,126.834,118.316,0.0838540048973224,65.472,15.3210765365288,2.58872389538159,2.24436582648827,1.96809186411804,0.436530370564327
"71","M10","m","10","left",30.2464827872598,30.213,26.9541382351579,26.81,12.1072487791405,12.096,11.5963392283373,10.7897396669971,10.8016820372023,9.87966800525976,223.443,215.297,95.897,119.4,126.626,140.762,0.0580945580052962,54.994,17.2630229990048,2.80326344478686,2.22628102609049,2.32436613869414,0.554582739192836
"72","M10","m","10","right",29.7591271713402,29.784,26.0807750076565,26.037,12.0505835543346,12.068,11.6997282143024,10.738074252948,10.6914667648456,10.143960145907,218.737,208.753,97.513,111.24,134.113,148.838,0.0810968214924391,53.412,12.9016835016835,2.77136537430537,2.43940102712681,2.22917785182172,0.532878569409781
"73","M11","m","11","left",25.255881414039,25.269,21.9424575196125,21.942,12.3781406115781,12.22,11.7903783029483,7.28154901568537,7.27124514491514,7.31578536942286,124.576,116.421,74.949,41.472,110.825,120.756,0.0900843206318711,55.583,15.0446622502172,3.46847646834961,1.77267799810645,1.86104779302337,0.356224392506507
"74","M11","m","11","right",26.066093397362,25.982,22.7348746422759,22.742,11.9788029452028,11.806,11.635502426305,7.7617569265116,7.73098795035499,7.99632435416279,137.593,129.186,78.07,51.116,113.697,122.381,0.0926524455936221,54.039,12.0486409155937,3.35827231439429,2.9407463558693,1.95392289987221,0.395677550198938
"75","M12","m","12","left",31.0681901790239,31.046,26.797726358779,26.644,11.8778447960899,11.702,10.554019702218,10.5681589539757,10.5669615260682,10.067295890115,214.724,202.776,92.126,110.65,117.243,122.47,0.102432190349326,54.041,16.8921002204389,2.93979209759485,2.25611016298181,2.5391014148995,0.545676016885628
"76","M12","m","12","right",30.5932593392727,30.602,26.8076947908618,26.615,11.9560478838118,11.831,11.0631661468676,10.2272903768572,10.2185470491876,9.56403458889028,210.741,198.672,90.253,108.419,114.528,121.724,0.122390804597701,53.532,11.9737791299439,2.9913357509141,2.62343507954911,2.42314853044597,0.545718571313522
"77","M13","m","13","left",28.9374633304303,28.916,25.0607454996854,24.931,11.8320738672474,11.655,11.1512845780068,8.19378510531462,8.1554748780415,8.23689420557182,147.102,140.891,79.775,61.116,116.749,102.106,0.103000268910146,55.315,15.7210185422081,3.5316356187644,2.11803490925259,2.24734157974155,0.433782143642958
"78","M13","m","13","right",26.7404969662121,26.637,24.1843877325849,23.927,11.7445122929818,11.756,11.2379325481565,8.88666514750073,8.84095395087966,8.96722011130575,155.949,151.023,86.123,64.9,97.0399,119.464,0.137278940836335,55.997,12.5115910263022,3.00905868763746,2.73549527199817,2.15203175752751,0.429735868046589
"79","M14","m","14","left",28.4756154279411,28.355,26.2425635942832,26.23,12.1795011802619,11.959,11.7051404755685,9.78893541403642,9.77140153970202,10.2033641587013,186.243,179.299,97.468,81.831,125.912,104.208,0.0836965934809661,59.468,16.4234471604101,2.90895937336656,2.15465011299576,2.24196912878216,0.456394068009303
"80","M14","m","14","right",28.3568507595607,28.355,25.1200562101282,24.981,12.4643599514777,12.318,12.2356765444488,10.0744314544995,10.0275911883979,10.1617545872767,194.813,185.138,103.703,81.435,112.661,96.3409,0.101450778028569,64.566,15.5388052908156,2.81473459694797,2.50509376959768,2.05301734798841,0.439861076602318
