number,id,Photo_id,Attractiveness,SSI,RIL,WHR,Photo_Sex
360,30k,7070,1,2,38.70967742,2.728971963,M
361,1k,7090,2,1.948717949,18.25192802,2.444444444,M
362,2k,7090,2,1.948717949,18.25192802,2.444444444,M
363,3k,7090,1,1.948717949,18.25192802,2.444444444,M
364,4k,7090,1,1.948717949,18.25192802,2.444444444,M
365,5k,7090,1,1.948717949,18.25192802,2.444444444,M
366,6k,7090,1,1.948717949,18.25192802,2.444444444,M
367,7k,7090,1,1.948717949,18.25192802,2.444444444,M
368,8k,7090,1,1.948717949,18.25192802,2.444444444,M
369,9k,7090,1,1.948717949,18.25192802,2.444444444,M
370,10k,7090,1,1.948717949,18.25192802,2.444444444,M
371,11k,7090,1,1.948717949,18.25192802,2.444444444,M
372,12k,7090,4,1.948717949,18.25192802,2.444444444,M
373,13k,7090,2,1.948717949,18.25192802,2.444444444,M
374,14k,7090,3,1.948717949,18.25192802,2.444444444,M
375,15k,7090,2,1.948717949,18.25192802,2.444444444,M
376,16k,7090,1,1.948717949,18.25192802,2.444444444,M
377,17k,7090,1,1.948717949,18.25192802,2.444444444,M
378,18k,7090,2,1.948717949,18.25192802,2.444444444,M
379,19k,7090,3,1.948717949,18.25192802,2.444444444,M
380,20k,7090,1,1.948717949,18.25192802,2.444444444,M
381,21k,7090,3,1.948717949,18.25192802,2.444444444,M
382,22k,7090,3,1.948717949,18.25192802,2.444444444,M
383,23k,7090,1,1.948717949,18.25192802,2.444444444,M
384,24k,7090,1,1.948717949,18.25192802,2.444444444,M
385,25k,7090,2,1.948717949,18.25192802,2.444444444,M
386,26k,7090,1,1.948717949,18.25192802,2.444444444,M
387,27k,7090,1,1.948717949,18.25192802,2.444444444,M
388,28k,7090,1,1.948717949,18.25192802,2.444444444,M
389,29k,7090,1,1.948717949,18.25192802,2.444444444,M
390,30k,7090,1,1.948717949,18.25192802,2.444444444,M
391,1k,7100,3,2.016528926,30.1703163,2.759615385,M
392,2k,7100,2,2.016528926,30.1703163,2.759615385,M
393,3k,7100,3,2.016528926,30.1703163,2.759615385,M
394,4k,7100,5,2.016528926,30.1703163,2.759615385,M
395,5k,7100,3,2.016528926,30.1703163,2.759615385,M
396,6k,7100,1,2.016528926,30.1703163,2.759615385,M
397,7k,7100,1,2.016528926,30.1703163,2.759615385,M
398,8k,7100,2,2.016528926,30.1703163,2.759615385,M
399,9k,7100,3,2.016528926,30.1703163,2.759615385,M
400,10k,7100,5,2.016528926,30.1703163,2.759615385,M
401,11k,7100,3,2.016528926,30.1703163,2.759615385,M
402,12k,7100,2,2.016528926,30.1703163,2.759615385,M
403,13k,7100,3,2.016528926,30.1703163,2.759615385,M
404,14k,7100,5,2.016528926,30.1703163,2.759615385,M
405,15k,7100,2,2.016528926,30.1703163,2.759615385,M
406,16k,7100,2,2.016528926,30.1703163,2.759615385,M
407,17k,7100,3,2.016528926,30.1703163,2.759615385,M
408,18k,7100,3,2.016528926,30.1703163,2.759615385,M
409,19k,7100,5,2.016528926,30.1703163,2.759615385,M
410,20k,7100,2,2.016528926,30.1703163,2.759615385,M
411,21k,7100,3,2.016528926,30.1703163,2.759615385,M
412,22k,7100,4,2.016528926,30.1703163,2.759615385,M
413,23k,7100,1,2.016528926,30.1703163,2.759615385,M
414,24k,7100,3,2.016528926,30.1703163,2.759615385,M
